date,country,city,temperature_celsius,humidity,wind_kph,precip_mm
2024-06-26,Tuvalu,Funafuti,28.8,67.0,35.3,0.01
2024-06-27,Mozambique,Maputo,24.2,61.0,20.2,0.0
2024-06-28,Ghana,Accra,28.3,84.0,28.1,0.01
2024-06-28,Mongolia,Ulaanbaatar,15.0,77.0,15.1,0.0
2024-06-29,Nepal,Kathmandu,27.2,70.0,6.1,0.0
2024-07-01,Samoa,Apia,23.1,100.0,3.6,0.37
2024-06-30,South Korea,Seoul,22.3,100.0,6.1,0.01
2024-07-01,Tonga,Nuku`Aloia,22.0,83.0,16.9,0.05
2024-06-30,Tunisia,Tunis,34.0,47.0,16.9,0.0
2024-07-01,Iceland,Vestmannaeyjar,9.2,93.0,20.2,0.1
2024-07-01,Indonesia,Laos,23.7,93.0,6.1,0.28
2024-07-02,Bulgaria,Bogot,35.5,26.0,14.0,0.0
2024-07-04,Denmark,Copenhagen,15.0,77.0,13.0,0.0
2024-07-04,Latvia,Riga,20.1,64.0,11.2,0.93
2024-07-05,Hungary,Budapest,28.4,33.0,22.0,0.0
2024-07-07,Malta,Valletta,28.4,66.0,13.0,0.0
2024-07-09,Bulgaria,Bogot,38.2,13.0,19.1,0.0
2024-07-11,Indonesia,Laos,21.7,91.0,6.8,0.11
2024-07-11,Saint Lucia,Castries,28.4,84.0,16.9,0.02
2024-07-13,Australia,Canberra,2.4,93.0,3.6,0.0
2024-07-13,China,Beijing Shi,24.3,75.0,4.7,0.0
2024-07-13,Malta,Valletta,35.2,35.0,11.2,0.0
2024-07-14,Madagascar,Ivory,30.3,23.0,3.6,0.0
2024-07-14,South Africa,Pretoria,24.4,10.0,22.0,0.0
2024-07-16,Latvia,Riga,29.2,40.0,16.9,0.0
2024-07-16,Nepal,Kathmandu,23.0,89.0,3.6,0.08
2024-07-16,Niger,Niamey,33.2,56.0,19.1,0.0
2024-07-17,Saint Kitts and Nevis,Basseterre,29.1,79.0,20.2,0.42
2024-07-18,Hungary,Budapest,32.4,43.0,13.0,0.0
2024-07-18,Netherlands,Amsterdam,25.2,54.0,3.6,0.01
2024-07-19,Switzerland,Bern,30.1,43.0,9.0,0.0
2024-07-20,Burundi,Bujumbura,30.4,52.0,15.1,0.01
2024-07-20,France,Paris,31.1,41.0,3.6,0.0
2024-07-20,Rwanda,Kigali,28.3,33.0,9.0,0.0
2024-07-23,Somalia,Mogadishu,26.2,76.0,28.8,0.01
2024-07-25,Honduras,Tegucigalpa,18.1,96.0,6.5,0.0
2024-07-27,Oman,Muscat,37.6,41.0,11.9,0.0
2024-07-28,Dominica,Roseau,28.0,71.0,15.1,0.01
2024-07-28,Portugal,Lisbon,26.7,48.0,6.5,0.0
2024-07-28,Zambia,Lusaka,29.9,9.0,6.8,0.0
2024-07-29,Indonesia,Jakarta,29.5,59.0,15.8,0.0
2024-07-30,South Korea,Seoul,26.7,81.0,6.8,0.0
2024-07-31,Tajikistan,Dushanbe,36.3,14.0,17.3,0.0
2024-08-02,Namibia,Windhoek,24.8,15.0,24.1,0.0
2024-08-03,Swaziland,Mbabane,25.6,22.0,9.0,0.0
2024-08-04,Brunei Darussalam,Bandar Seri Begawan,26.2,86.0,3.6,1.32
2024-08-06,Bahamas,Nassau,28.8,76.0,23.0,0.03
2024-08-06,Belarus,Minsk,20.9,71.0,6.5,1.34
2024-08-06,Thailand,Nan,24.8,95.0,5.8,0.0
2024-08-06,Switzerland,Bern,28.6,43.0,6.8,0.0
2024-08-09,Fiji Islands,Suva,19.9,76.0,9.4,0.01
2024-07-28,Marshall Islands,Majuro,28.4,80.0,28.8,0.01
2024-05-16,Jordan,Amman,23.0,29.0,15.1,0.0
2024-05-16,Madagascar,Ivory,27.8,48.0,18.4,0.0
2024-05-17,Serbia,Belgrade,20.0,56.0,25.9,0.52
2024-05-18,Central African Republic,Bangui,34.0,56.0,6.8,0.04
2024-05-18,Saint Kitts and Nevis,Basseterre,31.0,75.0,15.1,0.08
2024-05-19,Seychelles Islands,Victoria,29.0,79.0,13.0,0.0
2024-05-20,Turkey,Ankara,27.0,32.0,6.1,0.0
2024-05-22,Somalia,Mogadishu,31.0,75.0,29.9,0.02
2024-05-24,Micronesia,Palikir,29.0,84.0,6.8,0.41
2024-05-24,Nigeria,Abuja,34.3,40.0,8.3,0.0
2024-05-25,Guinea,Conakry,31.0,71.0,11.2,0.0
2024-05-28,Algeria,Algiers,24.0,69.0,25.9,0.0
2024-05-28,El Salvador,San Salvador,25.0,83.0,6.1,0.0
2024-05-29,Jamaica,Norman Gardens,31.0,66.0,6.1,0.17
2024-05-30,Kiribati,Tarawa,28.8,74.0,23.4,0.04
2024-05-30,Turkmenistan,Ashgabat,34.0,15.0,11.2,0.0
2024-05-31,Qatar,Doha,35.0,39.0,11.2,0.0
2024-05-31,San Marino,San Marino,25.0,57.0,3.6,0.0
2024-05-31,Suriname,Paramaribo,30.0,75.0,9.0,0.0
2024-06-01,Netherlands,Amsterdam,16.0,88.0,20.2,0.0
2024-06-04,Mongolia,Ulaanbaatar,20.0,26.0,22.0,0.0
2024-06-05,Iraq,Baghdad,43.0,10.0,19.1,0.0
2024-06-05,Lithuania,Vilnius,18.0,88.0,3.6,1.16
2024-06-06,Niger,Niamey,39.0,23.0,19.1,0.0
2024-06-08,Algeria,Algiers,27.1,45.0,20.2,0.0
2024-06-09,Czech Republic,Prague,23.2,50.0,6.8,0.05
2024-06-09,Turkmenistan,Ashgabat,39.3,13.0,6.8,0.0
2024-06-11,Mozambique,Maputo,23.0,47.0,13.0,0.0
2024-06-12,Comoros,Moroni,24.9,75.0,22.0,0.02
2024-06-12,Thailand,Bangkok,30.1,75.0,9.0,0.0
2024-06-13,Ghana,Accra,30.3,75.0,19.1,0.02
2024-06-13,Luxembourg,Luxembourg,16.4,45.0,11.2,0.03
2024-06-13,United States of America,Washington Harbor,9.2,84.0,13.0,0.0
2024-06-14,Eritrea,Asmara,25.8,25.0,21.2,0.0
2024-06-14,Spain,Madrid,30.2,14.0,29.2,0.0
2024-06-17,Samoa,Apia,27.9,75.0,34.2,0.01
2024-06-18,Azerbaijan,Baku,31.6,42.0,11.2,0.0
2024-06-19,Bulgaria,Lom,34.7,27.0,6.1,0.0
2024-06-20,Thailand,Nan,31.2,71.0,16.9,2.21
2024-06-21,Kyrghyzstan,Bishkek,25.4,44.0,18.7,0.38
2024-06-22,Grenada,Saint George's,27.1,89.0,3.6,0.28
2024-06-24,Afghanistan,Kabul,26.5,27.0,22.0,0.0
2024-06-26,Tonga,Nuku'alofa,23.7,68.0,19.1,0.01
2024-06-27,Sierra Leone,Freetown,29.0,70.0,11.2,0.09
2024-06-28,Grenada,Saint George's,31.2,66.0,3.6,0.01
2024-06-29,Vatican City,Vatican City,35.4,39.0,20.2,0.0
2024-06-29,Lebanon,Beirut,31.4,63.0,22.0,0.0
2024-06-30,Andorra,Andorra La Vella,17.5,64.0,13.7,0.02
2024-06-30,Australia,Canberra,-0.7,100.0,3.6,0.0
2024-07-01,Kuwait,Kuwait City,47.5,5.0,24.1,0.0
2024-07-02,Armenia,Yerevan,26.2,37.0,11.2,0.03
2024-07-04,Argentina,Buenos Aires,3.3,100.0,3.6,0.0
2024-07-07,France,Paris,20.2,40.0,16.9,0.0
2024-07-10,Antigua and Barbuda,Saint John's,29.2,75.0,15.1,0.01
2024-07-10,El Salvador,San Salvador,26.3,89.0,6.8,0.0
2024-07-10,Saint Vincent and the Grenadines,Kingstown,29.1,75.0,25.9,0.0
2024-07-11,Bhutan,Thimphu,14.7,96.0,3.6,0.27
2024-07-13,Venezuela,Caracas,26.3,84.0,4.0,0.06
2024-07-14,Belarus,Minsk,23.1,89.0,11.2,0.85
2024-07-17,Oman,Muscat,35.3,57.0,16.9,0.0
2024-07-19,Czech Republic,Prague,27.0,39.0,9.0,0.0
2024-07-19,Lesotho,Maseru,17.3,23.0,11.2,0.0
2024-07-20,Kenya,Nairobi,22.3,53.0,9.0,0.0
2024-07-25,Timor-Leste,Dili,24.6,85.0,5.0,0.06
2024-07-26,Cape Verde,Praia,26.3,76.0,14.4,0.0
2024-07-27,Sudan,Khartoum,29.2,54.0,16.9,0.0
2024-07-30,Panama,Panama City,25.5,94.0,7.6,0.01
2024-08-04,Algeria,Algiers,29.6,55.0,23.4,0.0
2024-08-04,Cuba,Havana,27.4,81.0,29.2,1.02
2024-08-04,Nigeria,Abuja,27.1,72.0,13.3,1.19
2024-08-05,Vietnam,Hanoi,29.2,79.0,14.0,0.0
2024-08-06,Swaziland,Mbabane,22.2,26.0,11.9,0.0
2024-08-08,Uzbekistan,Tashkent,41.3,8.0,6.8,0.0
2024-08-09,Ethiopia,Addis Ababa,19.1,74.0,6.1,2.17
2024-07-15,Argentina,Buenos Aires,8.2,93.0,6.1,0.0
2024-05-16,Turkmenistan,Ashgabat,23.0,69.0,6.8,0.02
2024-05-19,Paraguay,Pasto,15.2,68.0,11.5,0.0
2024-05-22,Japan,Tokyo,20.0,78.0,16.9,0.0
2024-05-23,Austria,Vienna,23.0,53.0,3.6,0.01
2024-05-27,Dominica,Roseau,32.0,59.0,13.0,0.06
2024-05-28,Armenia,Yerevan,27.0,28.0,3.6,0.0
2024-05-29,Yemen,Sanaa,27.2,12.0,27.4,0.0
2024-05-31,Saint Vincent and the Grenadines,Kingstown,31.0,75.0,34.9,0.0
2024-06-03,Japan,Tokyo,16.0,94.0,13.0,0.06
2024-06-05,Monaco,Monaco,23.0,73.0,13.0,0.0
2024-06-06,Saudi Arabia,Riyadh,44.0,5.0,13.0,0.0
2024-06-06,Trinidad and Tobago,Port Of Spain,29.0,84.0,19.1,0.0
2024-06-09,Greece,Athens,32.1,20.0,24.1,0.0
2024-06-09,Jamaica,Norman Gardens,31.3,75.0,24.1,0.0
2024-06-10,Barbados,Bridgetown,30.2,75.0,29.9,0.0
2024-06-10,Ethiopia,Addis Ababa,22.6,38.0,10.4,0.0
2024-06-10,Ireland,Dublin,15.1,51.0,22.0,0.16
2024-06-12,Australia,Canberra,10.1,87.0,24.1,0.0
2024-06-11,Bulgaria,Sofia,33.1,24.0,24.1,0.0
2024-06-13,Solomon Islands,Honiara,25.9,89.0,6.1,0.0
2024-06-15,Azerbaijan,Baku,26.8,58.0,23.0,0.0
2024-06-15,Timor-Leste,Dili,24.1,78.0,7.6,0.0
2024-06-16,Iceland,Grindavik,10.1,82.0,33.1,0.0
2024-06-17,Gambia,Banjul,33.1,47.0,16.9,0.0
2024-06-20,Guatemala,Guatemala City,18.2,94.0,11.2,0.01
2024-06-21,Bhutan,Thimphu,13.6,95.0,3.6,0.36
2024-06-21,Mauritius,Port Louis,23.3,73.0,13.0,0.06
2024-06-21,North Korea,Pyongyang,23.9,57.0,3.6,0.0
2024-06-22,Japan,Tokyo,25.2,51.0,29.9,0.0
2024-06-22,Kuwait,Kuwait City,47.8,8.0,3.6,0.0
2024-06-24,United States of America,Washington Harbor,11.5,94.0,6.8,0.0
2024-06-26,Guatemala,Guatemala City,20.2,78.0,6.8,0.0
2024-06-26,Serbia,Belgrade,24.3,74.0,25.9,0.38
2024-06-27,Belize,Belmopan,29.0,89.0,6.8,0.05
2024-06-29,China,Beijing,26.3,89.0,6.8,2.38
2024-06-30,Italy,Rome,33.1,34.0,20.2,0.0
2024-07-02,Jordan,Amman,30.1,27.0,22.0,0.0
2024-07-04,Nicaragua,Managua,24.0,94.0,6.8,0.0
2024-07-06,North Korea,Pyongyang,21.4,92.0,25.6,0.0
2024-07-07,Czech Republic,Prague,16.1,82.0,6.8,0.0
2024-07-08,Kiribati,Tarawa,28.5,74.0,14.4,0.0
2024-07-07,Kyrghyzstan,Bishkek,27.2,34.0,7.9,0.02
2024-07-07,Vietnam,Ban Lom,25.7,94.0,3.6,0.0
2024-07-09,Azerbaijan,Baku,33.0,47.0,22.0,0.0
2024-07-11,Fiji Islands,Suva,24.0,78.0,22.0,0.15
2024-07-10,Uganda,Kampala,27.2,46.0,14.8,0.02
2024-07-11,Dominica,Roseau,27.2,94.0,3.6,0.25
2024-07-11,Monaco,Monaco,27.1,74.0,15.1,0.0
2024-07-12,United Arab Emirates,Abu Dhabi,40.3,34.0,25.9,0.0
2024-07-14,Monaco,Monaco,27.2,70.0,16.9,0.0
2024-07-15,Bangladesh,Dhaka,29.4,77.0,23.4,0.0
2024-07-18,Guinea-Bissau,Bissau,27.0,94.0,9.0,0.54
2024-07-18,Romania,Bucharest,36.2,33.0,19.1,0.0
2024-07-19,Central African Republic,Bangui,33.3,42.0,10.1,0.0
2024-07-19,Estonia,Tallinn,19.1,73.0,29.9,0.0
2024-07-20,Lebanon,Beirut,32.2,67.0,24.1,0.0
2024-07-20,Saint Kitts and Nevis,Basseterre,30.1,75.0,25.9,0.02
2024-07-20,Sri Lanka,Colombo,32.2,67.0,6.8,0.0
2024-07-20,Uganda,Kampala,24.4,57.0,3.6,0.04
2024-07-23,Madagascar,Ivory,25.8,34.0,10.8,0.0
2024-07-25,Estonia,Tallinn,22.5,69.0,9.7,0.07
2024-07-25,South Korea,Seoul,27.3,82.0,3.6,1.04
2024-07-26,Palau,Koror,28.0,80.0,20.5,0.53
2024-07-27,Afghanistan,Kabul,34.7,10.0,9.4,0.0
2024-07-27,Ukraine,Kyiv,30.1,27.0,14.4,0.0
2024-07-29,Azerbaijan,Baku,26.8,48.0,17.3,0.0
2024-07-31,Kyrghyzstan,Bishkek,35.9,20.0,19.1,0.0
2024-07-31,Monaco,Monaco,28.0,70.0,6.1,0.0
2024-08-03,Sri Lanka,Colombo,27.3,81.0,14.0,0.0
2024-08-04,Panama,Panama City,24.8,91.0,4.0,0.16
2024-08-06,Thailand,Bangkok,30.0,70.0,10.4,0.0
2024-08-07,United States of America,Washington Harbor,9.6,92.0,6.5,0.0
2024-08-08,South Korea,Seoul,26.0,74.0,5.8,0.0
2024-05-16,Malaysia,Kuala Lumpur,29.0,84.0,11.2,1.86
2024-05-16,Russia,Moscow,18.0,42.0,19.1,0.0
2024-05-16,Brunei Darussalam,Bandar Seri Begawan,27.0,100.0,11.2,3.01
2024-05-17,Indonesia,Laos,20.4,96.0,5.4,0.07
2024-05-17,Madagascar,Antananarivo,19.0,78.0,11.2,0.0
2024-05-19,Albania,Tirana,28.0,66.0,9.0,0.0
2024-05-19,Ecuador,Quito,16.4,61.0,7.2,0.0
2024-05-20,Gabon,Libreville,31.0,75.0,11.2,0.52
2024-05-24,Papua New Guinea,Port Moresby,27.0,89.0,9.0,0.0
2024-05-24,Ireland,Dublin,12.0,94.0,19.1,0.0
2024-05-25,Antigua and Barbuda,Saint John's,30.0,66.0,15.1,0.0
2024-05-25,Indonesia,Jakarta,27.0,79.0,13.0,0.0
2024-05-26,Bhutan,Thimphu,13.0,91.0,5.0,0.23
2024-05-27,Philippines,Manila,29.0,89.0,6.8,0.08
2024-05-28,Antigua and Barbuda,Saint John's,30.0,75.0,19.1,0.01
2024-05-28,Indonesia,Jakarta,29.0,79.0,15.1,0.19
2024-05-28,Liberia,Monrovia,33.0,67.0,19.1,0.03
2024-05-29,Guinea-Bissau,Bissau,31.0,71.0,3.6,0.0
2024-05-29,Indonesia,Laos,21.0,95.0,3.6,0.0
2024-05-30,Chad,N'djamena,39.0,31.0,16.9,0.0
2024-05-30,Liberia,Monrovia,32.0,67.0,13.0,0.08
2024-06-01,Lithuania,Vilnius,23.0,57.0,3.6,0.13
2024-06-01,Mauritius,Port Louis,24.0,74.0,16.9,0.01
2024-06-01,Pakistan,Islamabad,34.9,11.0,10.8,0.0
2024-06-01,Slovakia,Bratislava,15.0,94.0,22.0,0.19
2024-06-02,Saint Vincent and the Grenadines,Kingstown,27.0,84.0,37.1,0.13
2024-06-03,Congo,Brazzaville,31.0,55.0,19.1,0.0
2024-06-04,Niger,Niamey,40.0,19.0,25.9,0.0
2024-06-04,Bolivia,National,27.7,50.0,8.6,0.0
2024-06-04,Sudan,Juba,40.2,10.0,4.3,0.0
2024-06-06,Japan,Tokyo,22.0,69.0,15.1,0.0
2024-06-07,Jamaica,Norman Gardens,28.1,84.0,9.0,0.0
2024-06-08,Samoa,Apia,23.3,94.0,6.8,0.04
2024-06-10,Belize,Belmopan,30.4,84.0,6.1,0.1
2024-06-10,Tajikistan,Dushanbe,31.2,24.0,6.8,0.0
2024-06-11,China,Beijing,32.4,28.0,22.0,0.0
2024-06-11,Mauritius,Port Louis,25.1,79.0,25.9,0.05
2024-06-12,Saint Kitts and Nevis,Basseterre,32.2,63.0,20.2,0.01
2024-06-14,Croatia,Zagreb,23.1,45.0,4.3,0.0
2024-06-14,Portugal,Lisbon,23.5,64.0,23.4,0.0
2024-06-15,Ecuador,Quito,13.0,85.0,3.6,0.24
2024-06-15,Iran,Tehran,32.4,16.0,11.2,0.0
2024-06-15,Belgium,'S Gravenjansdijk,17.4,59.0,22.0,0.32
2024-06-16,Egypt,Cairo,41.6,11.0,17.3,0.0
2024-06-18,Liberia,Monrovia,27.1,80.0,19.4,1.43
2024-06-21,Australia,Canberra,7.1,76.0,13.0,0.0
2024-06-21,Italy,Rome,36.3,22.0,15.1,0.37
2024-06-22,Mexico,Mexico City,15.1,82.0,13.0,0.04
2024-06-25,Armenia,Yerevan,32.4,23.0,3.6,0.0
2024-06-27,Russia,Lom,20.5,57.0,9.7,0.0
2024-06-28,Bulgaria,Sofia,24.2,65.0,3.6,0.04
2024-06-29,Japan,Tokyo,24.2,83.0,19.1,0.0
2024-07-03,Equatorial Guinea,Malabo,30.2,79.0,6.8,0.67
2024-07-03,Guatemala,Guatemala City,17.2,94.0,15.1,0.0
2024-07-03,Madagascar,Antananarivo,19.1,60.0,9.0,0.0
2024-07-07,Afghanistan,Kabul,30.1,11.0,21.2,0.0
2024-07-07,Mozambique,Maputo,25.1,30.0,31.0,0.0
2024-07-11,Israel,Jerusalem,36.2,37.0,15.1,0.0
2024-07-11,Japan,Tokyo,26.0,84.0,9.0,0.6
2024-07-12,San Marino,San Marino,32.3,59.0,22.0,0.0
2024-07-13,Jemen,Sanaa,26.1,34.0,14.8,0.2
2024-07-18,San Marino,San Marino,31.1,55.0,16.9,0.0
2024-07-18,United Arab Emirates,Abu Dhabi,40.2,46.0,19.1,0.0
2024-07-20,Equatorial Guinea,Malabo,29.1,84.0,25.9,0.1
2024-07-21,Fiji Islands,Suva,24.1,100.0,3.6,0.08
2024-07-20,Grenada,Saint George's,29.1,84.0,20.2,0.27
2024-07-23,Congo,Brazzaville,35.0,33.0,6.5,0.0
2024-07-24,Serbia,Belgrade,32.5,30.0,15.5,0.0
2024-07-25,Gabon,Libreville,27.6,68.0,14.8,0.0
2024-07-26,United Arab Emirates,Abu Dhabi,36.7,50.0,19.8,0.0
2024-07-27,Bangladesh,Dhaka,31.3,71.0,24.5,0.0
2024-07-28,Ethiopia,Addis Ababa,19.3,69.0,6.1,1.56
2024-07-30,Burkina Faso,Ouagadougou,29.9,58.0,20.9,0.01
2024-07-30,Yemen,Sanaa,21.3,49.0,5.4,0.42
2024-07-31,Georgia,Tbilisi,28.6,42.0,24.1,0.57
2024-07-31,Latvia,Riga,22.8,48.0,19.1,0.0
2024-08-01,Guyana,Georgetown,27.1,84.0,9.0,0.07
2024-08-01,Haiti,Port-Au-Prince,27.8,71.0,6.1,0.0
2024-08-03,Belarus,Minsk,21.4,52.0,4.7,0.0
2024-08-05,Monaco,Monaco,27.8,65.0,9.4,0.0
2024-08-07,Hungary,Budapest,32.2,23.0,3.6,0.0
2024-08-07,Mozambique,Maputo,24.3,50.0,19.1,0.0
2024-08-07,Somalia,Mogadishu,26.1,77.0,27.4,0.05
2024-08-08,Ireland,Dublin,19.4,81.0,14.8,0.04
2024-08-08,Lebanon,Beirut,27.1,67.0,11.5,0.0
2024-07-05,Malaysia,Kuala Lumpur,28.3,89.0,6.1,0.32
2024-07-07,Palau,Koror,27.3,89.0,3.6,0.01
2024-05-16,Djibouti,Djibouti,35.0,53.0,19.1,0.0
2024-05-16,Luxembourg,Luxembourg,17.0,63.0,16.9,0.03
2024-05-16,Venezuela,Caracas,31.0,66.0,6.8,0.0
2024-05-20,Slovenia,Ljubljana,21.0,56.0,22.0,0.37
2024-05-21,Montenegro,Podgorica,24.0,78.0,3.6,0.58
2024-05-23,Bolivia,Sucre,16.4,38.0,3.6,0.0
2024-05-24,Afghanistan,Kabul,18.5,58.0,24.1,0.24
2024-05-24,Thailand,Nan,25.0,100.0,3.6,0.18
2024-05-25,Barbados,Bridgetown,27.0,94.0,24.1,0.34
2024-05-25,Seychelles Islands,Victoria,29.0,75.0,15.1,0.0
2024-05-27,Guyana,Georgetown,31.0,75.0,19.1,0.69
2024-05-27,Kazakhstan,Astana,9.0,81.0,15.1,1.38
2024-05-27,Zambia,Lusaka,24.0,30.0,17.6,0.0
2024-05-28,Mauritius,Port Louis,24.0,89.0,19.1,0.01
2024-05-30,Uruguay,Montevideo,13.0,88.0,6.8,0.0
2024-05-31,Kazakhstan,Astana,11.0,62.0,15.1,0.0
2024-05-31,Yemen,Sanaa,27.4,11.0,34.6,0.0
2024-06-02,Armenia,Yerevan,29.0,19.0,6.1,0.0
2024-06-02,Guyana,Georgetown,29.0,79.0,6.8,0.89
2024-06-02,Indonesia,Laos,21.1,95.0,4.7,0.07
2024-06-03,Macedonia,Skopje,28.0,62.0,15.1,0.06
2024-06-05,Maldives,Felidhoo,28.9,73.0,13.3,0.01
2024-06-09,Kiribati,Tarawa,28.9,74.0,18.4,0.01
2024-06-09,Estonia,Tallinn,15.2,63.0,22.0,0.01
2024-06-09,Malaysia,Kuala Lumpur,28.2,79.0,3.6,0.0
2024-06-09,Timor-Leste,Dili,24.0,78.0,7.2,0.0
2024-06-11,Azerbaijan,Baku,29.4,52.0,15.1,0.0
2024-06-11,Turkey,Yaren,40.0,16.0,11.2,0.0
2024-06-13,Fiji Islands,Suva,21.3,100.0,3.6,0.0
2024-06-13,Sudan,Khartoum,40.6,13.0,12.6,0.0
2024-06-14,Maldives,Felidhoo,28.7,78.0,26.3,0.05
2024-06-15,Tonga,Nuku`Aloia,23.2,100.0,6.1,0.05
2024-06-15,Argentina,Buenos Aires,13.4,77.0,6.1,0.0
2024-06-16,Kiribati,Tarawa,28.7,68.0,8.6,0.01
2024-06-16,Grenada,Saint George's,28.1,75.0,18.4,0.03
2024-06-17,Benin,Porto-Novo,29.6,66.0,12.6,0.33
2024-06-17,Turkmenistan,Ashgabat,39.2,14.0,11.2,0.0
2024-06-19,Armenia,Yerevan,34.1,15.0,6.1,0.01
2024-06-21,Nigeria,Abuja,29.2,62.0,13.0,0.0
2024-06-21,South Africa,Pretoria,19.3,30.0,11.2,0.0
2024-06-21,Trinidad and Tobago,Port Of Spain,30.4,75.0,19.1,0.0
2024-06-24,Ireland,Dublin,23.2,65.0,11.2,0.02
2024-06-24,Belgium,'S Gravenjansdijk,24.4,54.0,15.1,0.0
2024-06-25,Botswana,Gaborone,21.6,31.0,10.4,0.0
2024-06-25,Georgia,Tbilisi,32.8,33.0,12.6,0.0
2024-06-25,Libya,Tripoli,27.0,74.0,31.7,0.0
2024-06-26,United Kingdom,London,28.1,40.0,11.2,0.0
2024-06-27,Nepal,Kathmandu,26.0,79.0,6.1,1.5
2024-06-29,Malaysia,Kuala Lumpur,30.2,75.0,13.0,0.91
2024-07-02,Argentina,Buenos Aires,9.1,76.0,13.0,0.0
2024-07-02,Cambodia,Phnom Penh,26.3,100.0,3.6,5.23
2024-07-02,Namibia,Windhoek,25.1,11.0,16.9,0.0
2024-07-05,New Zealand,Wellington,5.3,93.0,6.1,0.04
2024-07-05,Tonga,Nuku`Aloia,22.3,94.0,3.6,0.02
2024-07-05,Vanuatu,Port Vila,22.2,94.0,6.1,0.1
2024-07-06,Egypt,Cairo,32.0,43.0,15.1,0.0
2024-07-06,Indonesia,Jakarta,24.4,94.0,6.8,0.15
2024-07-07,Costa Rica,San Ignacio,19.3,100.0,6.1,0.0
2024-07-08,Turkey,Yaren,34.3,41.0,41.0,0.0
2024-07-08,Oman,Muscat,36.3,67.0,29.9,0.0
2024-07-08,Russia,Lom,26.6,43.0,3.6,0.0
2024-07-10,Thailand,Bangkok,30.2,75.0,13.0,0.74
2024-07-14,Qatar,Doha,41.0,32.0,28.1,0.0
2024-07-16,Eritrea,Asmara,22.3,56.0,5.0,1.01
2024-07-18,Algeria,Algiers,31.0,63.0,20.2,0.0
2024-07-18,Portugal,Lisbon,31.2,29.0,3.6,0.0
2024-07-18,Belgium,'S Gravenjansdijk,24.1,61.0,3.6,0.0
2024-07-19,Maldives,Dhidhdhoo,28.6,79.0,26.6,0.63
2024-07-23,Zambia,Lusaka,28.5,14.0,13.7,0.0
2024-07-24,Burkina Faso,Ouagadougou,30.6,56.0,18.0,0.03
2024-07-24,Senegal,Dakar,26.5,83.0,12.2,0.0
2024-07-24,Trinidad and Tobago,Port Of Spain,26.1,87.0,15.1,0.57
2024-07-26,Cameroon,Ngaoundere,22.5,83.0,6.1,1.09
2024-07-26,Canada,Ottawa,16.1,73.0,11.5,0.0
2024-07-28,Egypt,Cairo,38.8,19.0,8.6,0.0
2024-07-30,Algeria,Algiers,31.9,44.0,21.2,0.0
2024-07-30,Israel,Jerusalem,30.4,36.0,28.8,0.0
2024-07-30,Turkmenistan,Ashgabat,34.1,23.0,12.6,0.0
2024-07-31,Vanuatu,Port Vila,23.7,73.0,18.4,0.01
